JURISDICTION,YEAR,POPULATION,"VIOLENT CRIME RATE PER 100,000 PEOPLE","PROPERTY CRIME RATE PER 100,000 PEOPLE",Overall Crime Rate
Talbot County,1/1/2014,38020,265.6,2101.5,Middle
Talbot County,1/1/2015,37473,232.2,1830.7,Middle
Talbot County,1/1/2016,37221,223,1902.2,Middle
Washington County,1/1/1975,105782,230.7,3013.7,High
Washington County,1/1/1976,108494,263.6,3237,High
Washington County,1/1/1977,111000,290.1,2914.4,High
Washington County,1/1/1978,109397,358.3,2808.1,High
Washington County,1/1/1979,109767,407.2,2828.7,High
Washington County,1/1/1980,112764,276.7,3190.7,High
Washington County,1/1/1981,114614,260,3121.8,High
Washington County,1/1/1982,114722,258,2676.9,High
Washington County,1/1/1983,115768,231.5,2510.2,High
Washington County,1/1/1984,113834,242.5,2216.4,High
Washington County,1/1/1985,113100,235.2,2341.3,High
Washington County,1/1/1986,114891,258.5,2387.5,High
Washington County,1/1/1987,115933,301.9,2497.1,High
Washington County,1/1/1988,118591,221.8,2243.8,High
Washington County,1/1/1989,119640,306.8,2266,High
Washington County,1/1/1990,121393,285.8,2333.7,High
Washington County,1/1/1991,123385,291,2630.8,High
Washington County,1/1/1992,124602,314.6,2252,High
Washington County,1/1/1993,126701,289.7,2275.4,High
Washington County,1/1/1994,127743,305.3,2112.1,High
Washington County,1/1/1995,127509,389.8,2358.3,High
Washington County,1/1/1996,128265,335.2,2472.2,High
Washington County,1/1/1997,128820,405.2,2387.8,High
Washington County,1/1/1998,129186,388.6,2216.2,High
Washington County,1/1/1999,128265,322,2249.2,High
Washington County,1/1/2000,131923,332.8,2396.1,High
Washington County,1/1/2001,133882,387.7,2343.9,High
Washington County,1/1/2002,135950,347.9,2300.1,High
Washington County,1/1/2003,135495,362.4,2248.8,High
Washington County,1/1/2004,138016,388.4,2251.2,High
Washington County,1/1/2005,140687,370.3,2323.6,High
Washington County,1/1/2006,142284,399.2,2426.8,High
Washington County,1/1/2007,144219,350.9,2258.4,High
Washington County,1/1/2008,145781,303.2,2182,High
Washington County,1/1/2009,147664,267.5,1939.5,High
Washington County,1/1/2010,148210,300.9,2043,High
Washington County,1/1/2011,148828,302.4,2168.9,High
Washington County,1/1/2012,149634,258.6,2045.7,High
Washington County,1/1/2013,149938,258.8,2070.2,High
Washington County,1/1/2014,150339,318.6,2151.8,High
Washington County,1/1/2015,149573,302.9,1977.6,High
Washington County,1/1/2016,149090,301.8,2134.3,High
Wicomico County,1/1/1975,57261,267.2,3265.7,Very high
Wicomico County,1/1/1976,59758,364.8,4128.3,Very high
Wicomico County,1/1/1977,60281,270.4,4535.4,Very high
Wicomico County,1/1/1978,60743,311.1,4670.5,Very high
Wicomico County,1/1/1979,60692,346,5183.5,Very high
Wicomico County,1/1/1980,64974,381.7,5531.4,Very high
Wicomico County,1/1/1981,66040,401.3,5137.8,Very high
Wicomico County,1/1/1982,66102,473.5,4957.5,Very high
Wicomico County,1/1/1983,66705,430.3,3989.2,Very high
Wicomico County,1/1/1984,66574,377,3821.3,Very high
Wicomico County,1/1/1985,66648,589.7,4286.7,Very high
Wicomico County,1/1/1986,67740,831.1,4660.5,Very high
Wicomico County,1/1/1987,70413,803.8,5028.9,Very high
Wicomico County,1/1/1988,72609,845.6,5166,Very high
Wicomico County,1/1/1989,73125,970.9,4421.2,Very high
Wicomico County,1/1/1990,74339,1117.9,4550.8,Very high
Wicomico County,1/1/1991,75558,835.1,5264.8,Very high
Wicomico County,1/1/1992,76303,1000,5632.8,Very high
Wicomico County,1/1/1993,77414,959.8,5387.9,Very high
Wicomico County,1/1/1994,78049,1060.9,5736.1,Very high
Wicomico County,1/1/1995,79034,946.4,5669.7,Very high
Wicomico County,1/1/1996,79503,922,5817.4,Very high
Wicomico County,1/1/1997,79846,661.3,4915.7,Very high
Wicomico County,1/1/1998,79956,660.4,4672.6,Very high
Wicomico County,1/1/1999,79936,800.6,4477.3,Very high
Wicomico County,1/1/2000,84644,912.1,4351.2,Very high
Wicomico County,1/1/2001,85901,1182.8,4558.7,Very high
Wicomico County,1/1/2002,87228,908,4136.3,Very high
Wicomico County,1/1/2003,87121,829.9,4027.7,Very high
Wicomico County,1/1/2004,88155,898.4,4326.5,Very high
Wicomico County,1/1/2005,89458,1031.8,4617.8,Very high
Wicomico County,1/1/2006,90650,1027,4869.3,Very high
Wicomico County,1/1/2007,92169,878.8,4347.4,Very high
Wicomico County,1/1/2008,94080,1073.6,4242.1,Very high
Wicomico County,1/1/2009,95595,968.7,4466.8,Very high
Wicomico County,1/1/2010,95757,762.3,4038.3,Very high
Wicomico County,1/1/2011,99669,584.9,3396.2,Very high
Wicomico County,1/1/2012,100148,553.2,3357,Very high
Wicomico County,1/1/2013,101431,496.9,3320.5,Very high
Wicomico County,1/1/2014,101594,445.9,3377.2,Very high
Wicomico County,1/1/2015,101897,467.1,3257.2,Very high
Wicomico County,1/1/2016,102475,486.9,2931.4,Very high
Worcester County,1/1/1975,26715,1134.2,8426,Very high
Worcester County,1/1/1976,26795,709.1,8135.8,Very high
Worcester County,1/1/1977,26703,745.2,8463.5,Very high
Worcester County,1/1/1978,27845,847.5,8701.7,Very high
Worcester County,1/1/1979,27842,941,11177.4,Very high
Worcester County,1/1/1980,30303,650.1,9662.4,Very high
Worcester County,1/1/1981,30800,620.1,9334.4,Very high
Worcester County,1/1/1982,30829,535.2,8550.4,Very high
Worcester County,1/1/1983,31109,597.9,7714.8,Very high
Worcester County,1/1/1984,31953,572.7,7799,Very high
Worcester County,1/1/1985,33728,714.5,8411.4,Very high
Worcester County,1/1/1986,34294,734.8,9535.2,Very high
Worcester County,1/1/1987,36680,468.9,8167.9,Very high
Worcester County,1/1/1988,37482,570.9,7526.3,Very high
Worcester County,1/1/1989,37476,808.5,7708.9,Very high
Worcester County,1/1/1990,35028,807.9,8527.5,Very high
Worcester County,1/1/1991,35600,862.4,7842.7,Very high
Worcester County,1/1/1992,35949,890.1,6845.8,Very high
Worcester County,1/1/1993,37667,695.6,6536.2,Very high
Worcester County,1/1/1994,37973,629.4,6870.7,Very high
Worcester County,1/1/1995,39293,687.1,6502.4,Very high
Worcester County,1/1/1996,39525,678.1,6461.7,Very high
Worcester County,1/1/1997,39694,864.1,6106.7,Very high
Worcester County,1/1/1998,42454,803.2,5921.7,Very high
Worcester County,1/1/1999,43096,640.4,5531.8,Very high
Worcester County,1/1/2000,46543,754.1,5085.6,Very high
Worcester County,1/1/2001,47234,757.9,4623.8,Very high
Worcester County,1/1/2002,47963,994.5,4632.7,Very high
Worcester County,1/1/2003,49082,880.2,4586.2,Very high
Worcester County,1/1/2004,50047,801.2,4272,Very high
Worcester County,1/1/2005,49347,857.2,4273.8,Very high
Worcester County,1/1/2006,48884,711.9,4754.1,Very high
Worcester County,1/1/2007,48779,594.5,4668,Very high
Worcester County,1/1/2008,49355,474.1,4878.9,Very high
Worcester County,1/1/2009,49804,544.1,4616.1,Very high
Worcester County,1/1/2010,49645,525.7,4745.7,Very high
Worcester County,1/1/2011,51942,477.5,4458.8,Very high
Worcester County,1/1/2012,52011,357.6,4260.6,Very high
Worcester County,1/1/2013,51718,419.6,4091.4,Very high
Worcester County,1/1/2014,51756,367.1,4322.2,Very high
Worcester County,1/1/2015,51566,281.2,3612.8,Very high
Worcester County,1/1/2016,51255,296.6,3580.1,Very high
